Particle id: 1, Name: 3cf3, Training timestamp: 08102024_06:26
Particle id: 2, Name: 1s3x, Training timestamp: 08102024_07:51
Particle id: 3, Name: 1u6g, Training timestamp: 08102024_08:58
Particle id: 4, Name: 4cr2, Training timestamp: 08102024_10:08
Particle id: 5, Name: 1qvr, Training timestamp: 08102024_11:45
Particle id: 6, Name: 3h84, Training timestamp: 08102024_13:25
Particle id: 7, Name: 2cg9, Training timestamp: 08102024_14:49
Particle id: 8, Name: 3qm1, Training timestamp: 08102024_15:56
Particle id: 9, Name: 3gl1, Training timestamp: 08102024_16:58
Particle id: 10, Name: 3d2f, Training timestamp: 08102024_18:24
Particle id: 11, Name: 4d8q, Training timestamp: 08102024_19:47
Particle id: 12, Name: 1bxn, Training timestamp: 08102024_20:55
