Particle id: 1, Name: 3cf3, Training timestamp: 16102024_16:25
Particle id: 2, Name: 1s3x, Training timestamp: 16102024_18:15
Particle id: 3, Name: 1u6g, Training timestamp: 16102024_19:51
Particle id: 4, Name: 4cr2, Training timestamp: 16102024_21:26
Particle id: 5, Name: 1qvr, Training timestamp: 16102024_23:10
Particle id: 6, Name: 3h84, Training timestamp: 17102024_00:44
Particle id: 7, Name: 2cg9, Training timestamp: 17102024_02:30
Particle id: 8, Name: 3qm1, Training timestamp: 17102024_04:17
Particle id: 9, Name: 3gl1, Training timestamp: 17102024_06:38
Particle id: 10, Name: 3d2f, Training timestamp: 17102024_08:41
Particle id: 11, Name: 4d8q, Training timestamp: 17102024_10:41
Particle id: 12, Name: 1bxn, Training timestamp: 17102024_13:57
