Particle id: 1, Name: 3cf3, Training timestamp: 17102024_09:04
Particle id: 2, Name: 1s3x, Training timestamp: 17102024_10:02
Particle id: 3, Name: 1u6g, Training timestamp: 17102024_10:52
Particle id: 4, Name: 4cr2, Training timestamp: 17102024_11:32
Particle id: 5, Name: 1qvr, Training timestamp: 17102024_12:13
Particle id: 6, Name: 3h84, Training timestamp: 17102024_12:58
Particle id: 7, Name: 2cg9, Training timestamp: 17102024_13:39
Particle id: 8, Name: 3qm1, Training timestamp: 17102024_14:20
Particle id: 9, Name: 3gl1, Training timestamp: 17102024_15:07
Particle id: 10, Name: 3d2f, Training timestamp: 17102024_15:50
Particle id: 11, Name: 4d8q, Training timestamp: 17102024_16:31
Particle id: 12, Name: 1bxn, Training timestamp: 17102024_17:29
