Particle id: 1, Name: 3cf3, Training timestamp: 18102024_13:35
Particle id: 2, Name: 1s3x, Training timestamp: 18102024_14:20
Particle id: 3, Name: 1u6g, Training timestamp: 18102024_15:18
Particle id: 4, Name: 4cr2, Training timestamp: 18102024_15:58
Particle id: 5, Name: 1qvr, Training timestamp: 18102024_16:38
Particle id: 6, Name: 3h84, Training timestamp: 18102024_17:19
Particle id: 7, Name: 2cg9, Training timestamp: 18102024_18:03
Particle id: 8, Name: 3qm1, Training timestamp: 18102024_18:48
Particle id: 9, Name: 3gl1, Training timestamp: 18102024_20:02
Particle id: 10, Name: 3d2f, Training timestamp: 18102024_20:47
Particle id: 11, Name: 4d8q, Training timestamp: 18102024_21:34
Particle id: 12, Name: 1bxn, Training timestamp: 18102024_22:56
