Particle id: 1, Name: 3cf3, Training timestamp: 22112024_22:18:19
Particle id: 2, Name: 1s3x, Training timestamp: 22112024_22:46:29
Particle id: 3, Name: 1u6g, Training timestamp: 22112024_23:09:14
Particle id: 4, Name: 4cr2, Training timestamp: 22112024_23:31:06
Particle id: 5, Name: 1qvr, Training timestamp: 23112024_00:05:01
Particle id: 6, Name: 3h84, Training timestamp: 23112024_00:28:59
Particle id: 7, Name: 2cg9, Training timestamp: 23112024_00:50:49
Particle id: 8, Name: 3qm1, Training timestamp: 23112024_01:12:42
Particle id: 9, Name: 3gl1, Training timestamp: 23112024_01:34:34
Particle id: 10, Name: 3d2f, Training timestamp: 23112024_01:58:37
Particle id: 11, Name: 4d8q, Training timestamp: 23112024_02:20:29
Particle id: 12, Name: 1bxn, Training timestamp: 23112024_02:52:32
