Particle id: 1, Name: 3cf3, Training timestamp: 31102024_18:40:07
Particle id: 2, Name: 1s3x, Training timestamp: 31102024_21:51:00
Particle id: 3, Name: 1u6g, Training timestamp: 31102024_23:35:14
Particle id: 4, Name: 4cr2, Training timestamp: 01112024_01:29:46
Particle id: 5, Name: 1qvr, Training timestamp: 01112024_03:43:32
Particle id: 6, Name: 3h84, Training timestamp: 01112024_05:38:12
Particle id: 7, Name: 2cg9, Training timestamp: 01112024_08:01:39
Particle id: 8, Name: 3qm1, Training timestamp: 01112024_09:46:33
Particle id: 9, Name: 3gl1, Training timestamp: 01112024_12:09:56
Particle id: 10, Name: 3d2f, Training timestamp: 01112024_14:23:48
Particle id: 11, Name: 4d8q, Training timestamp: 01112024_16:27:55
Particle id: 12, Name: 1bxn, Training timestamp: 01112024_20:46:32
