Particle id: 1, Name: 3cf3, Training timestamp: 25112024_12:11:43
Particle id: 2, Name: 1s3x, Training timestamp: 25112024_13:01:37
Particle id: 3, Name: 1u6g, Training timestamp: 25112024_13:41:57
Particle id: 4, Name: 4cr2, Training timestamp: 25112024_14:13:39
Particle id: 5, Name: 1qvr, Training timestamp: 25112024_14:52:16
Particle id: 6, Name: 3h84, Training timestamp: 25112024_15:31:45
Particle id: 7, Name: 2cg9, Training timestamp: 25112024_16:27:25
Particle id: 8, Name: 3qm1, Training timestamp: 25112024_20:54:46
Particle id: 9, Name: 3gl1, Training timestamp: 25112024_17:55:20
Particle id: 10, Name: 3d2f, Training timestamp: 25112024_18:35:06
Particle id: 11, Name: 4d8q, Training timestamp: 25112024_18:57:01
Particle id: 12, Name: 1bxn, Training timestamp: 25112024_19:34:50
